page,book,year,status,ours_chars,calfa_chars,length_ratio,cer,page_script
EAP180-1-3-28_034R.jpg,EAP180-1-3-28,1852,ok,240,55,0.2292,0.8000,armenian
EAP180-1-3-28_035L.jpg,EAP180-1-3-28,1852,ok,303,115,0.3795,0.6601,armenian
EAP180-1-3-28_035R.jpg,EAP180-1-3-28,1852,ok,356,205,0.5758,0.4663,armenian
EAP180-1-3-28_036L.jpg,EAP180-1-3-28,1852,ok,282,0,0.0000,1.0000,armenian
EAP180-1-3-28_036R.jpg,EAP180-1-3-28,1852,ok,331,23,0.0695,0.9335,armenian
EAP180-1-3-28_037L.jpg,EAP180-1-3-28,1852,ok,309,89,0.2880,0.7379,armenian
EAP180-1-3-28_037R.jpg,EAP180-1-3-28,1852,ok,326,17,0.0521,0.9540,armenian
EAP180-1-3-28_038L.jpg,EAP180-1-3-28,1852,ok,296,132,0.4459,0.6486,armenian
EAP180-1-3-28_038R.jpg,EAP180-1-3-28,1852,ok,113,108,0.9558,0.1327,armenian
EAP180-1-3-28_039L.jpg,EAP180-1-3-28,1852,ok,284,133,0.4683,0.5739,armenian
EAP180-1-3-28_039R.jpg,EAP180-1-3-28,1852,ok,350,92,0.2629,0.7743,armenian
EAP180-1-3-28_040L.jpg,EAP180-1-3-28,1852,ok,335,0,0.0000,1.0000,armenian
EAP180-1-3-28_040R.jpg,EAP180-1-3-28,1852,ok,288,141,0.4896,0.6840,armenian
EAP180-1-3-28_041L.jpg,EAP180-1-3-28,1852,ok,279,145,0.5197,0.5305,armenian
EAP180-1-3-28_041R.jpg,EAP180-1-3-28,1852,ok,337,34,0.1009,0.9021,armenian
EAP180-1-3-28_042L.jpg,EAP180-1-3-28,1852,ok,280,0,0.0000,1.0000,armenian
EAP180-1-3-28_042R.jpg,EAP180-1-3-28,1852,ok,275,43,0.1564,0.8582,armenian
EAP180-1-3-28_043L.jpg,EAP180-1-3-28,1852,ok,340,266,0.7824,0.2618,armenian
EAP180-1-3-28_043R.jpg,EAP180-1-3-28,1852,ok,298,64,0.2148,0.8054,armenian
EAP180-1-3-28_044L.jpg,EAP180-1-3-28,1852,ok,279,46,0.1649,0.8566,armenian
EAP180-1-3-28_044R.jpg,EAP180-1-3-28,1852,ok,315,37,0.1175,0.8889,armenian
EAP180-1-3-28_045L.jpg,EAP180-1-3-28,1852,ok,300,168,0.5600,0.5033,armenian
EAP180-1-3-28_045R.jpg,EAP180-1-3-28,1852,ok,296,16,0.0541,0.9493,armenian
EAP180-1-3-28_046L.jpg,EAP180-1-3-28,1852,ok,181,52,0.2873,0.7403,armenian
EAP180-1-3-28_046R.jpg,EAP180-1-3-28,1852,ok,364,204,0.5604,0.4973,armenian
EAP180-1-3-28_047L.jpg,EAP180-1-3-28,1852,ok,277,269,0.9711,0.1769,armenian
EAP180-1-3-28_047R.jpg,EAP180-1-3-28,1852,ok,71,77,1.0845,0.1972,armenian
EAP180-1-3-28_049R.jpg,EAP180-1-3-28,1852,ok,41,30,0.7317,0.4634,armenian
EAP180-1-3-87_002R.jpg,EAP180-1-3-87,1861,ok,143,141,0.9860,0.1608,armenian
EAP180-1-3-87_003R.jpg,EAP180-1-3-87,1861,ok,183,182,0.9945,0.3224,armenian
EAP180-1-3-87_004L.jpg,EAP180-1-3-87,1861,ok,112,109,0.9732,0.3750,armenian
EAP180-1-3-87_004R.jpg,EAP180-1-3-87,1861,ok,599,614,1.0250,0.0417,armenian
EAP180-1-3-87_005L.jpg,EAP180-1-3-87,1861,ok,607,606,0.9984,0.0231,armenian
EAP180-1-3-87_005R.jpg,EAP180-1-3-87,1861,ok,420,419,0.9976,0.1786,armenian
EAP180-1-3-87_006L.jpg,EAP180-1-3-87,1861,ok,274,272,0.9927,0.0255,armenian
EAP180-1-3-87_006R.jpg,EAP180-1-3-87,1861,ok,866,827,0.9550,0.0647,armenian
EAP180-1-3-87_007L.jpg,EAP180-1-3-87,1861,ok,1164,1155,0.9923,0.0378,armenian
EAP180-1-3-87_007R.jpg,EAP180-1-3-87,1861,ok,928,848,0.9138,0.1304,armenian
EAP180-1-3-87_008L.jpg,EAP180-1-3-87,1861,ok,1543,1147,0.7434,0.3325,armenian
EAP180-1-3-87_008R.jpg,EAP180-1-3-87,1861,ok,1526,1150,0.7536,0.4135,armenian
EAP180-1-3-87_009L.jpg,EAP180-1-3-87,1861,ok,1527,1523,0.9974,0.0223,armenian
EAP180-1-3-87_009R.jpg,EAP180-1-3-87,1861,ok,1523,1436,0.9429,0.1898,armenian
EAP180-1-3-87_010L.jpg,EAP180-1-3-87,1861,ok,1533,1495,0.9752,0.0411,armenian
EAP180-1-3-87_010R.jpg,EAP180-1-3-87,1861,ok,1532,1209,0.7892,0.2324,armenian
EAP180-1-3-87_011L.jpg,EAP180-1-3-87,1861,ok,1578,1534,0.9721,0.0425,armenian
EAP180-1-3-87_011R.jpg,EAP180-1-3-87,1861,ok,1162,879,0.7565,0.2702,armenian
EAP180-1-3-87_012L.jpg,EAP180-1-3-87,1861,ok,1275,1136,0.8910,0.1396,armenian
EAP180-1-3-87_012R.jpg,EAP180-1-3-87,1861,ok,1556,1102,0.7082,0.3946,armenian
EAP180-1-3-87_013L.jpg,EAP180-1-3-87,1861,ok,1618,1418,0.8764,0.1768,armenian
EAP180-1-3-87_013R.jpg,EAP180-1-3-87,1861,ok,1542,1278,0.8288,0.3262,armenian
EAP180-1-3-87_014L.jpg,EAP180-1-3-87,1861,ok,1352,1040,0.7692,0.2618,armenian
EAP180-1-3-87_014R.jpg,EAP180-1-3-87,1861,ok,1590,973,0.6119,0.4560,armenian
EAP180-1-3-87_015L.jpg,EAP180-1-3-87,1861,ok,1547,1429,0.9237,0.1112,armenian
EAP180-1-3-87_015R.jpg,EAP180-1-3-87,1861,ok,1571,1127,0.7174,0.4462,armenian
EAP180-1-3-87_016L.jpg,EAP180-1-3-87,1861,ok,1228,1081,0.8803,0.1531,armenian
EAP180-1-3-87_016R.jpg,EAP180-1-3-87,1861,ok,1537,1223,0.7957,0.3038,armenian
EAP180-1-3-87_017L.jpg,EAP180-1-3-87,1861,ok,1593,1463,0.9184,0.0948,armenian
EAP180-1-3-87_017R.jpg,EAP180-1-3-87,1861,ok,1295,755,0.5830,0.5390,armenian
EAP180-1-3-87_018L.jpg,EAP180-1-3-87,1861,ok,1551,1373,0.8852,0.1302,armenian
EAP180-1-3-87_018R.jpg,EAP180-1-3-87,1861,ok,1600,979,0.6119,0.4356,armenian
EAP180-1-3-87_019L.jpg,EAP180-1-3-87,1861,ok,1575,1276,0.8102,0.2063,armenian
EAP180-1-3-87_019R.jpg,EAP180-1-3-87,1861,ok,1633,1586,0.9712,0.0649,armenian
EAP180-1-3-87_020L.jpg,EAP180-1-3-87,1861,ok,1137,904,0.7951,0.2348,armenian
EAP180-1-3-87_020R.jpg,EAP180-1-3-87,1861,ok,1614,978,0.6059,0.4393,armenian
EAP180-1-3-87_021L.jpg,EAP180-1-3-87,1861,ok,1321,1217,0.9213,0.1022,armenian
EAP180-1-3-87_021R.jpg,EAP180-1-3-87,1861,ok,1590,1537,0.9667,0.1264,armenian
EAP180-1-3-87_022L.jpg,EAP180-1-3-87,1861,ok,1587,1349,0.8500,0.1733,armenian
EAP180-1-3-87_022R.jpg,EAP180-1-3-87,1861,ok,1259,957,0.7601,0.4138,armenian
EAP180-1-3-87_023L.jpg,EAP180-1-3-87,1861,ok,1578,1572,0.9962,0.0158,armenian
EAP180-1-3-87_023R.jpg,EAP180-1-3-87,1861,ok,1593,1551,0.9736,0.1475,armenian
EAP180-1-3-87_024L.jpg,EAP180-1-3-87,1861,ok,1577,1536,0.9740,0.1211,armenian
EAP180-1-3-87_024R.jpg,EAP180-1-3-87,1861,ok,1588,1207,0.7601,0.3445,armenian
EAP180-1-3-87_025L.jpg,EAP180-1-3-87,1861,ok,1108,1094,0.9874,0.0370,armenian
EAP180-1-3-87_025R.jpg,EAP180-1-3-87,1861,ok,1523,1332,0.8746,0.3454,armenian
EAP180-1-3-87_026L.jpg,EAP180-1-3-87,1861,ok,1563,1324,0.8471,0.1932,armenian
EAP180-1-3-87_026R.jpg,EAP180-1-3-87,1861,ok,1572,1329,0.8454,0.2373,armenian
EAP180-1-3-87_027L.jpg,EAP180-1-3-87,1861,ok,1604,1095,0.6827,0.3448,armenian
EAP180-1-3-87_027R.jpg,EAP180-1-3-87,1861,ok,1582,593,0.3748,0.6435,armenian
EAP180-1-3-87_028L.jpg,EAP180-1-3-87,1861,ok,1576,734,0.4657,0.5660,armenian
EAP180-1-3-87_028R.jpg,EAP180-1-3-87,1861,ok,1568,580,0.3699,0.6582,armenian
