headword_as_printed	expanded_form	pos	glosses	source_page	scan_url	bucket
Թաւլի				dict-250.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf123.jpg	body
Թափան				dict-250.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf123.jpg	body
Թափանցականութի	Թափանցականութիւն	s.	penetrability.	dict-250.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf123.jpg	body
Թափանցկութի, -ցութիւն	Թափանցկութիւն	s.	transparency, pellucidity, diaphaneity.	dict-251.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf123.jpg	body
Թափտուր				dict-252.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf124.jpg	body
Թելական		s.	wire drawing-plate.	dict-253.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf124.jpg	body
Թեղոշ		s.	oak, oak-tree; holm-oak.	dict-254.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf125.jpg	body
Թեպէկ		s.	monkey, ape.	dict-254.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf125.jpg	body
Թեպուր				dict-254.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf125.jpg	body
Թերակատարութի	Թերակատարութիւն	s.	imperfection, defect, blemish.	dict-254.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf125.jpg	body
Թերամտութի	Թերամտութիւն	s.	distrust, mistrust, doubt.	dict-254.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf125.jpg	body
Թերիսակէ				dict-254.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf125.jpg	body
