headword_as_printed	expanded_form	pos	glosses	source_page	scan_url	bucket
Լորուտ		s.	obscene song.	dict-295.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf145.jpg	body
Լուեմ		va.	to hem.	dict-296.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf146.jpg	body
Լուզ				dict-297.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf146.jpg	body
Լուզակ		s.	mech. float	dict-297.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf146.jpg	body
լուզական		a.	adulatory, deceitful	dict-492.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf244.jpg	body
Լուզապ		s.	emulsion.	dict-297.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf146.jpg	body
լուզաց		s.	adulator, flatterer, sycophant, seducer	dict-492.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf244.jpg	body
Լուզիկ		s.	zool. diver.	dict-297.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf146.jpg	body
լուզութի	լուզութիւն	s.	adulation, flattery.	dict-492.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf244.jpg	body
լուզութի	լուզութիւն	s.	adulation, flattery.	dict-492.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf244.jpg	body
Լուծլիք		s.	zygomatic nerves; brains.	dict-297.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf146.jpg	body
Լուսադրութիւն				dict-297.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf146.jpg	body
Լուսնագանջ		s.	s. lunacy.	dict-299.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf147.jpg	body
Լուսնանմանութի	Լուսնանմանութիւն	s. ast.	paraselene, [mock-moon.	dict-299.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf147.jpg	body
Լուսնոտութի	Լուսնոտութիւն	s.	lunacy; madness; epilepsy; the falling-sickness. [sible.; lunacy, madness; epilepsy, the falling-sickness. [sible.	dict-299.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf147.jpg	body
Լուտուռ		s. bot.	agriot; black-cherry.; agriot, black-cherry.	dict-299.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf147.jpg	body
Լպուտ		s.	bowyer; cotton beater.; bowyer, cotton beater.	dict-300.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf148.jpg	body
Լռակացութի	Լռակացութիւն	s.	silence, taciturnity.	dict-300.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf148.jpg	body
Լսնասկի		s.	platina.	dict-301.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf148.jpg	body
Լսնացուցանեմ, Լսնե-		va.	to whiten; to render white; to bleach.; to whiten, to render white, to bleach.	dict-301.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf148.jpg	body
Լուր, լրոյ		s.	hearing; audition; audience; news; account; report; relation; hearsay; rumour; renown; fame; discourse; sermon; obedience; noise that wakes or rouses; sound; voice; cry; hearing, audition; news, account, report, relation; hearsay, rumour; renown, fame; discourse, sermon; sound, voice, cry	dict-299.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf147.jpg	body
Մագլէմ, -լցեմ		vn.	to claw, to scratch; to clutch, to catch	dict-480.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf238.jpg	body
Լքիչ		a.	that which vexes, torments, oppresses, troubles.	dict-293.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf144.jpg	body
Լքոյ				dict-293.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf144.jpg	body
Լքուկ		s.	torment, vexation; affliction, trouble; obedient, submissive.	dict-293.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf144.jpg	body
Լօռադեղ		s.	turnsol, dutch orchal.	dict-302.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf149.jpg	body
Խաբէապատիր		a.	fraudulent; deceitful, false, illusory, insidious, sophistical.	dict-302.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf149.jpg	body
Խագ		s.	s. two edged sword.	dict-302.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf149.jpg	body
Խազատետր		s.	music-book.	dict-306.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf151.jpg	body
Խաժուրդ		s. chem.	Prussian blue.	dict-303.png	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf149.jpg	body
