fable	roman	hy_title	fr_title	hy_text	fr_text	hy_pages	fr_pages	hy_scan_url	fr_scan_url
30	XXX	ԱՅՐ ԹԱԳԱՒՈՐԱԶՆ ԵՒ ԼՈՒ	LE PRINCE ET LA PUCE	Այր մի թագաւորազն սաստիկ նեղեցաւ լուէ, և արուեստիւ կալաւ զնա։ Եւ լու ասէ, աղաչեմ՝ զքեզ մի՛ սպանաներ զիս, փոքր է վնասդ զոր արարի քեզ ։ Եւ նա ա սէ . զոր կարացեր՝ արարեր ։ Ցուցանէ առակս, թէ պարտ է իշխանաց թագաւորաց և դատաւորաց՝ զփոքր չարա գործն Հոգալ՝ և տանջել . որ երկիցեն մեծա մեծ չարագործքն ։	UN Homme du sang royal fut cruellement tour- menté par une puce; il la prit par ruse. Elle lui dit alors : Je vous en prie, ne me tuez pas, parce que le mal que je vous ai fait est peu de chose. Oui, répondit le Prince, tu as fait ce que tu as pu. Cette fable montre que le prince, le roi et les juges, doivent avoir soin de punir les petits mal- faiteurs, pour que les grands criminels aient peur.	EAP180-1-2-229_035L.jpg	EAP180-1-2-229_035R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_035L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_035R.jpg
31	XXXI	ԿԱՊԻԿՆ ԵՒ ՁԿՆՈՐՍ	LE SINGE ET LE PÊCHEUR	Կապիկն որ է ապուզնայն սովորութիւն ու նի, որ զինչ և տեսցէ ՚ի մարդն զոր առնէ զնոյն և ինքն առնէ։ Եւ ետես զձկնորսն ձգել զուռկանսն ՚ի վերայ ձկանցն . և գնաց հաց։ Եւ իջեալ ՚ի ծառէն կապիկն և է զուռկանսն, և նման ձկնորսին՝ ձգել ՚ի րայ ձկանցն կամեցաւ, և ինքն ըմբռնե ՚ի նմա ։ և ասէ, յիրաւի ըմբռնեցայ, զի յ ձեռն արկի՝ որում` չէի հմուտ ։ Ցուցանէ առակս, թէ մի ձեռն արկանե մի ցանկար գործոց՝ որում` չես հմուտ՝ և քեզ ՚ի դէպ, զի կորուստ լիցի՝ և ոչ շահ ք Հասանէ ։	LES Guenons ou les Singes ont l'habitude de faire tout ce qu'ils voient faire à l'homme. Une Guenon vit un Pêcheur tendre ses filets contre les poissons, puis il s'en alla dîner. La Guenon descendit de son arbre, prit le filet, et, comme le Pêcheur, elle voulut le tendre contre les pois sons, mais elle y fut prise. Il est juste, dit-elle alors, que je sois prise, puisque j'ai fait un mé tier dont je ne suis pas instruite. Cette fable montre que vous ne devez pas en treprendre ou désirer de faire des travaux que vous ne connaissez pas: cela n'est pas à propos; ils causent votre perte, sans vous procurer de profit.	EAP180-1-2-229_035L.jpg EAP180-1-2-229_036L.jpg	EAP180-1-2-229_035R.jpg EAP180-1-2-229_036R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_035L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_035R.jpg
32	XXXII	ԱԳՌԱՒՆ ԵՒ ՁԱԳՔ ԻՒՐ	LE CORBEAU ET SES PETITS	Ագռաւն ժողովեաց զձագս իւր, և խրատ զնոսա՝ ասելով . որդեակք իմ` մի լրբ պատրաստք եղերուք ՚ի մարդկանէ, ևս ռաւել ՚ի յայն ժամն՝ որ խոնարհին ՚ի առնելն ։ Եւ ասեն ձագքն նորա . ով մ մեր՝ զի՞նչ արասցուք՝ թէ յառաջա մարդն առեալ լինի զքարն ՚ի ձեռն իւր ։ մայրն . այժմ` գիտացի որ ապրելոց էք դու Ցուցանէ առակս, թէ պարտ է անդ պատրաստ լինել յորոգայթից՝ և ՚ի պա նաց Հակառակորդին ։	LE Corbeau rassembla ses petits et leur donna ses conseils en ces termes: O mes chers enfans, ne soyez pas timides, soyez en garde contre l'homme, surtout quand il se penche vers la terre pour prendre une pierre. O notre mère, dirent alors les petits, que ferons-nous avant que l'homme ait pris la pierre dans la main? La mère leur répondit : Je reconnais maintenant que vous êtes en état de vous sauver. Cette fable montre qu'il faut être continuelle- ment en garde contre les piéges et les trahisons de l'ennemi.	EAP180-1-2-229_036L.jpg EAP180-1-2-229_037L.jpg	EAP180-1-2-229_036R.jpg EAP180-1-2-229_037R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_036L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_036R.jpg
33	XXXIII	ԾԱՌՔ ՄԵԾԱՄԵԾՔ ԵՒ ԵՂ	LES GRANDS ARBRES ET LE ROSEAU	Թագաւորն Հնդկաց ել ՚ի զբօսանս ՚ի լերինս և ՚ի Հովիտս . և ահա ծա ծամեծք բեկեալ և մանրեալ էին . եղէգն մի կայր ՚ի կանգուն՝ անարատ ։ թագաւորն . ով եղէգն՝ ասա ինձ . զ մանամ՝ թէ որպէս կաս Հաստատուն . ծամեծ ծառքն մանրեալ են ։ Եւ նա ա բարի թագաւոր, ՚ի գալ սաստիկ ծառքն Հպարտութեամբ Հակառակին նոցա , նա բեկէ և ձգէ զնոսա . իսկ ե նարՀիմ՝ ՚ի կամս Հողմոցն , նա ոչ զիս ։ Ցուցանէ առակս, թէ պարտ է սիրե նարՀութիւն և զհեզութիւն և զհամ թիւն, և Հաւանիլ · և շատք սատ Հպարտութեամբ ։	LE Roi des Indes était allé, pour se divertir, cou- rir les montagnes et les vallées. Tous les grands arbres étaient abattus et brisés, tandis qu'un Ro- seau était resté de toute sa hauteur. Le Roi lui dit : O Roseau, informe-moi de ce qui est ici le sujet de mon étonnement : comment se fait-il que tu es resté inébranlable, tandis que ces grands ar- bres sont brisés? O excellent roi, lui dit-il, quand les grands vents sont venus, les arbres ont résisté avec orgueil; ceux-ci les ont brisés et renversés; pour moi je me suis abaissé selon leur volonté, et ils ne m'ont pas brisé. Cette fable montre qu'il faut aimer l'humilité, la douceur, la patience et la soumission, parce que beaucoup périssent à cause de leur orgueil. 5	EAP180-1-2-229_037L.jpg	EAP180-1-2-229_037R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_037L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_037R.jpg
34	XXXIV	ՓԱՅՏԱՀԱՐՔՆ ԵՒ ԾԱՌՔ	LES BUCHERONS ET LES ARBRES	Փայտահարքն առին զփայտահատքն՝ կացինն, և գնացին՝ մտին ՚ի մայրին և սկ կոտորել զծառսն. և ծառքն ասեն . զի՞ այս զոր գործեն ։ Եւ նոճին ասէ . վա՛յ եղբարք · զի կոթքն ՚ի մեզանէ է՝ որ կոտ զմեզ ։ Ցուցանէ առակս, թէ մարդ՝ մի՛ տար ՚ի քէն զէն հակառակորդին, որ գայ և նո սպանցէ զքեզ ։	DES Bûcherons prirent leurs cognées, s'en al lèrent et entrèrent dans la forêt, où ils commen cèrent à abattre des arbres. Ceux-ci se mirent à dire : Qu'est-ce qu'ils font? Malheur à nous, mes frères, répondit le Cyprès, parce que les man ches de ces cognées qui nous détruisent, viennent de nous! Cette fable te montre, ô Homme, qu'il ne faut pas donner des armes à ton ennemi, parce qu'il s'en servira pour te tuer.	EAP180-1-2-229_038L.jpg	EAP180-1-2-229_038R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_038L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_038R.jpg
35	XXXV	ԵԶՆ ԵՒ ՁԻՆ	LE BOEUF ET LE CHEVAL	Եզն և ձին խօսեցան ընդ միմեանս . ա ձին՝ ընդ եզն՝ թէ դու ո՞վ ես, կամ յ պէտս ես ։ Ասէ, ես ձի եմ՝ որ թագաւոր արծաթով՝ և բազմին ՚ի վերայ իմ։ Ասէ ամեն աշխարհիս շէն եմ ես՝ որ վաստակի չարչարիմ և խոնջիմ, և ապա դու և թագաւորն ուտէք, և ամենայն մարդիկ զվ տակս իմ ուտեն, և թէ ոչ վաստակիմ՝ դ քո թագաւորն մէկ Հետ մեռանիք . և դու բախտամոռաց մի լինիր ։	LE Bœuf et le Cheval causaient ensemble; le Cheval dit au Bœuf: Qui es-tu? à quoi es-tu utile? Moi Cheval, poursuivit-il, les rois, les princes et les seigneurs m'ornent d'or et d'argent et se pla- cent sur moi. Je suis, lui repartit le Bœuf, celui dont les peines et les travaux portent l'abondance dans tout le monde; toi et ton roi vous mangez, et tous les hommes mangent le fruit de mes tra- vaux. Si je ne travaillais pas, toi et ton roi, il vous faudrait mourir: ainsi donc ne sois pas ingrat.	EAP180-1-2-229_038L.jpg EAP180-1-2-229_039L.jpg	EAP180-1-2-229_038R.jpg EAP180-1-2-229_039R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_038L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_038R.jpg
36	XXXVI	ԱՌԻՒԾՆ, ԱՂՈՒԷՍՆ ԵՒ ԷՇ	LE LION, LE RENARD ET L'ANE	Առիւծն Հիւանդացաւ, և եկեալ բժշկա և ասեն . այս ցաւոյս դեղն այն է, որ ե զսիրտ և զականջ իշոյն, և զջուրն տան՝ խըմէ առիւծն՝ և ողջանայ կոչեցին զաղու և ասեն . արա Հնար՝ և բեր էշ մի։ Ասէ . իմ եղբարք, էշ մի կայ յայս անուն Հով սաստիկ գէր ։ Գայ աղուէսն՝ և ասէ ցէշն . բարի եղբայր՝ երանի է քեզ, զի գտի զքո ւագ եղբայրն, և ցանկայ տեսանել զքեզ է նա թագաւոր, և դու ընդ նմա թագա րես։ Եւ Հաւատաց էշն, և եկն ՚ի Համբու րել զառիւծն . և կամէր առիւծն խեղ զէշն, և էշն փախեաւ : Եւ Հասեալ նմա ղուէսն՝ և ասէ, ընդէ՞ր փախչիս . և ասէ ցաւեցոյց ՚ի Համբուրելն զփողս իմ` . և աղուէսն, այն ՚ի սաստիկ սիրոյն է . ապա դու զնա Համբուրես՝ ուրա՛խ լինիս: Եւ դ ձաւ էշն ՚ի Համբուրել զառիւծն, և կալ զփողոյ նորա՝ մեռոյց զէշն, և գնաց ՚ի Հ չել : Եւ աղուէսն Հանեալ զսիրտն և կանջն՝ և կերաւ . և ասէր թէ դե՛ղ է նա՝ ինձ քան առիւծուն : Եւ գնաց առ բժիշ առիւծն, և ասէ թէ՝ մեծ զարմանք է, զի այն ո՛չ սիրտ ունի և ո՛չ ականջ : Իբրև կին՝ տեսին զի ո՛չ ունէր, զարմացան : Եւ աղուէսն . մի՛ զարմանայք • զի եթէ դա ս ունէր կամ` ականջ , յերբ լուաւ զքո գոռ և զերծաւ ՚ի ձեռաց քոց՝ նա չէր կրկին յ դարձեալ , և անկանել ՚ի ձեռս քո և ռանել . և իրաւացոյց զբանն : Ցուցանէ առակս, թէ այսպէս անմիտ և մար եղաք ամենեքեան, և կամաւ մատ ցաք զմեզ սատանայի՝ որ սպանանէ զՀո մեր. և զերծանիմք խոստովանութեամբ դարձեալ մեղանչեմք, և ահա ո՛չ սիրտ նիմք և ո՛չ ականջ, և ո՛չ լսեմք զբան գր և զսպառնալիս դժոխոց :	LE Lion devint malade; les médecins vinrent alors et dirent : Le remède de cette maladie est de faire cuire le cœur et les oreilles de l'Ane, pour qu'on en donne le bouillon au Lion qui le boira et sera guéri. On appela le Renard et on lui dit : Allons, amène un Ane. O mes frères, répondit-il, il y a dans cette vallée un Ane très-gras. Le Re- nard alla vers lui, et lui dit : O mon cher frère, que tu es heureux! J'ai rencontré ton frère aîné qui désire te voir; il est roi et tu régneras avec lui. L'Ane le crut, il vint donc pour em- brasser le Lion; comme celui-ci voulait l'étran- gler, l'Ane prit la fuite. Le Renard arrive à lui et lui dit : Pourquoi t'enfuis-tu ainsi? Il m'a fait mal au cou en m'embrassant, répondit l'Ane. C'est la violence de son amitié, repartit le Renard; mais si tu l'embrasses, tu seras bien content. L'Ane retourna donc pour embrasser le Lion; celui-ci le saisit alors par la gorge, et le tua; puis il s'en alla reposer. Le Renard tira ensuite le cœur et les oreilles de l'Ane, et les mangea en disant : Le remède sera meilleur pour moi que pour le Lion. Il alla après vers le médecin et le Lion, et il leur dit : C'est vraiment une grande merveille, cet Ane n'a ni cœur ni oreilles. Ceux-ci vinrent et ils trouvèrent effectivement qu'il n'en avait pas; ils en furent très-étonnés. Ne soyez plus surpris, dit alors le Renard; s'il avait eu un cœur et des oreilles, quand il a entendu votre rugissement et qu'il s'est sauvé de vos bras, il ne serait pas revenu une seconde fois pour tomber sous votre griffe et mourir. Ce dis- cours le justifia. Cette fable montre que, de même, nous sommes tous sans jugement et insensés, quand nous nous livrons volontairement à Satan, qui nous fait périr. Nous nous sauvons par la confession, et de nouveau nous péchons; alors nous n'avons plus ni cœur ni oreilles ; nous n’entendons plus la pa- role de l’Écriture, ni les menaces de l’enfer.	EAP180-1-2-229_039L.jpg EAP180-1-2-229_040L.jpg EAP180-1-2-229_041L.jpg	EAP180-1-2-229_039R.jpg EAP180-1-2-229_040R.jpg EAP180-1-2-229_041R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_039L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_039R.jpg
37	XXXVII	ԱՅՐԻ ԿԻՆՆ ԵՒ ՈՐԴԻՆ	LA VEUVE ET SON FILS	Այրի կին մի ունէր զտղայ մի, և սկսաւ ղանալ միրգ և բանջար . և մայր նո ուրախութեամբ ճաշակէր զայն , և ոչ խր տէր զնա ՚ի կամս այ . և սովորեցաւ տղա և փոքր փոքր աճեցաւ ՚ի գողութիւն, և րէր անասունս և այլ անօթս . և աճե եղև աւազակ ՚ի լերինս, և բազում՝ չա առնէր . և կալեալ տարան ՚ի կախել ։ նա ասէ . թէ բերէք զմայր իմ՝ զի Համբ րեցից զնա ։ Եւ իբրև բերին, և նա խ ծեալ եՀատ զքիթ մօրն ։ Եւ զայն իմաց թագաւորն, և ասէ . ո՛վ դու՝ զի՞նչ արարե Եւ նա ասէ, յիրաւի արարի , զի ո՛չ խր տեաց զիս ՚ի տղայութենէս ՚ի կամս այ . չէի յայս վիշտս անկեալ ։ Եւ թագաւո հրամայեաց արձակել զնա . և կախեաց զ նորա, զի ոչ էր խրատեալ զնա : Ցուցանէ առակս, թէ ամենայն ծնող ոչ խրատէ զորդին իւր մնալ ՚ի կամս այ, մեղք որդւոցն ՚ի գլուխս ծնողացն յաւ դատաստանի :	UNE femme veuve avait un petit enfant; il com- mença par voler des fruits et des herbes ; sa mère les mangeait avec joie, et ne donnait à son fils aucun conseil conforme aux commandemens de Dieu. Le petit enfant s’accoutuma à cette ma- nière de vivre, et peu à peu il grandit dans le vol ; il apportait des animaux et ensuite des meubles. Enfin, étant plus avancé en âge, il devint brigand dans les montagnes et il fit beaucoup de mal; il fut pris, et on le conduisit pour le pen- dre. Alors il dit : Amenez-moi ma mère que je l’embrasse. Quand on l’eut fait venir, il la mor- dit et lui coupa le nez. Le Roi le sut et il lui dit : Pourquoi as-tu fait cette action? Ce que j’ai fait est juste, répliqua-t-il, parce qu’elle ne m’a pas conseillé dans mon enfance selon la volonté de Dieu; et je ne serais pas dans la peine où je suis tombé. Le Roi ordonna de lui donner la liberté et de pendre la mère, parce qu'elle ne lui avait pas donné de bons conseils. Cette fable montre que tout père qui reste sans instruire ses enfans, comme Dieu le lui ordonne, les péchés de ses enfans retomberont sur sa tête au jour du jugement.	EAP180-1-2-229_041L.jpg EAP180-1-2-229_042L.jpg	EAP180-1-2-229_041R.jpg EAP180-1-2-229_042R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_041L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_041R.jpg
38	XXXVIII	ԳԱՅԼԱԳՌԱՒՆ ԵՒ ԱՂՈՒԷՍ	LA CORNEILLE ET LE RENARD	Գայլագռաւն քաղցեաւ մերձ ՚ի մահ, և նաց գողացաւ սակաւ մի պանիր ՚ի հով գործէ միոյ . և առեալ գայ նստի ՚ի վե բարձրագոյն վիմի միոյ, զի կերիցէ զնա : ահա կայր յոտս վիմին աղուէս մի, և ետ զագռաւն և զպանիրն ՚ի բերան նորա . կըսաւ գովել զագռաւն՝ և ասել . թէ փա այ կենդանւոյ՝ ուստի գայ պայծառ արեգա այս՝ որ գեղեցիկ է . և է նման լուսնոյ՝ ան սուրբ, և փետուրք դորա փայլեն որպէս զո տեղս, և թէ գիտէի զձայն սորա որ զօր էր, ես թագաւոր օծէի զդա տիեզերաց ագռաւն խելօքն գնաց, և Հպարտացաւ՚ի գովութիւնն, մոռացաւ զպանիրն, և աս միտս իւր . թէ այսպէս գեղեցիկ եմ ե ձայնս իմ զօրաւոր. և տարածեալ զթևս և բարձր մի ձայնեաց . և զերծաւ պանիր բերանոյն, և անկաւ առաջի աղուէսուն ։ աղուէսն ընդ ագռաւն, թէ ձայնդ աղէկ է զամենայն տեղիք յաւել ունիս թագաւոր թեան, ապա խելք բնաւ ոչ ունիս դու, . շերտ պանիր ոչ կարացեր պահել , դու զի կարես պահել զթագաւորութիւն ։ Ցուցանէ առակս՝ թէ զամենայն կերպ գաւորութեան ետ մեզ ած . և Հաւանեալ ս և խաբող բանիցն սատանայի՝ Հպարտ նամք, և անկանիմք ՚ի սուրբ մեծութեն	UNE Corneille qui se mourait de faim, s'en alla voler un peu de fromage chez un laboureur : quand elle l'eut pris, elle alla se placer sur un rocher très-élevé pour le manger. Un Renard se trouvait au pied de ce rocher; il vit la Corneille et le fromage dans son bec ; il commença alors à louer la Corneille en disant : Gloire au Dieu vivant, d'où vient l'éclat de ce soleil ? Qu'il est beau! sa personne est pure, et semblable à la lune; ses plumes brillent comme des astres. Si je savais quelle est la force de sa voix, je le sa crerais roi de l'univers. La Corneille perdit alors la tête, elle s'enfla d'orgueil à cause de ces fausses louanges, elle oublia le fromage, se disant en elle-même : Je suis belle et ma voix est forte. Elle se mit à étendre ses ailes et à élever la voix, lais sant échapper de son bec le fromage qui tomba devant le Renard. Quelle belle voix ! lui dit le Renard ; vous avez toutes les qualités requises pour la royauté; mais vous n'avez pas de jugement, et si vous n'avez pu garder un morceau de fromage, comment pourrez-vous conserver un royaume? Cette fable montre que c'est Dieu qui donne tout ce qui est nécessaire pour la royauté, et en écoutant les discours faux et trompeurs de Satan, nous nous enflons d'orgueil et nous nous éloi gnons de sa sainte majesté.	EAP180-1-2-229_042L.jpg EAP180-1-2-229_043L.jpg	EAP180-1-2-229_042R.jpg EAP180-1-2-229_043R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_042L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_042R.jpg
39	XXXIX	ԱՂՈՒԷՍՆ ԵՒ ՈՒՂՏՆ	LE RENARD ET LE CHAMEAU	Աղուէսն եգիտ զուղտ մի մերձ ՚ի մահ նստաւ առ նմա ։ և ասէ ուղտն ՚ի ղուէսն, թէ յինչ պէտս եկիր աստ . և ասէ ղուէսն, թէ մեռանիս՝ որ ես ուտեմ զմիս Եւ ասէ ուղտն . այ գերի աղուէս, ո՛չ կա Համբերել , զի պարանոցս իմ յերկայն է Հոգիս իմ յուշ ելանէ ։ Եւ ասէ աղուէսն . բ ես կարի Համբերող եմ ազգաւ, թէ և ՚ի ռասուն աւուր ևս յուշանաս ՚ի մեռանելդ Ցուցանէ առակս՝ թէ պարտ է Համբե վարդապետին, և Հեզութեամբ օգտեցուց նել ժողովրդեան . և քաղցրութեամբ կո զմեղաւորսն յապաշխարութիւն . քանզի ո՛չ կայ մեծ բարութիւն քան զՀամբեր թիւնն, զի առաքեալքն և մարգարէք և Հ րապետք Համբերութեամբ լուսաւորե զաշխարհս ։	LE Renard trouva un Chameau près de mourir; il se plaça auprès de lui, et le Chameau lui dit : Pourquoi es-tu ici? Le Renard répondit: Tu vas mourir et je mangerai ta chair. O Renard, vil esclave de Dieu, répondit le Chameau, ne peux-tu pas patienter? Mon cou est long, et il faudra bien du tems à mon ame pour sortir. Je suis d'une race patiente, dit le Renard, et je puis encore attendre ta mort pendant quarante jours. Cette fable montre qu'il n'y a que la patience et la douceur du docteur qui puissent intéresser le peuple; que c'est par la douceur qu'on peut ap peler les pécheurs à la pénitence, parce qu'il n'existe pas de plus grand bien que la patience, et que c'est avec elle que les apôtres, les pro phètes et les pontifes ont éclairé le monde.	EAP180-1-2-229_044L.jpg	EAP180-1-2-229_044R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_044L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_044R.jpg
40	XL	ՄԱՐԴԱՍՊԱՆՆ	L'HOMICIDE	Ա յր մի մարդասպան փախեաւ, և գնաց ցանել ընդ գետն որ կոչի նեղոս . և սեալ յեզր գետոյն առիւծ մի, և փախ ել ՚ի ծառ մեծ, և կայր անդ բունեալ Հագին վիշապ մի . և նա յահէն՝ ՚ի ծառոյ վայր անկաւ . և ահա ել ՚ի գետոյն կոկոր լոսն, և եկուլ զնա ։ Ցուցանէ առակս . թէ ոչ կայ հնար կարէ փախչել մեղաւորն ՚ի ձեռացն այ . պէս ասէ յոբ (1), թէ որ չարն է՝ մի յուսա անպարտ լինել . ևս առաւել մարդ պանքն և զրկողք ։	UN Homicide prit la fuite et parvint auprès d'un fleuve qu'on appelle le Nil et qu'il voulut passer; voyant un Lion sur le rivage, il se sauva et monta sur un grand arbre; un énorme Serpent y avait placé son nid. Frappé de terreur, il tombe en bas de l'arbre, mais voilà qu'il vient du fleuve un Crocodile, qui le dévore. Cette fable montre qu'il n'est aucun moyen de sauver le pécheur des mains de Dieu, comme dit Job; qui est méchant ne doit pas espérer de se trouver innocent, et particulièrement les homici- des et les adultères. 6	EAP180-1-2-229_045L.jpg	EAP180-1-2-229_045R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_045L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_045R.jpg
41	XLI	ԱՅՐ ԱՆՄԻՏ	L'HOMME INSENSÉ	Այր մի անմիտ և յիմար՝ ունէր դահ մի . և առեալ զայն գնաց ՚ի քա գնել էշ մի ։ Շրջեցաւ ՚ի քաղաքն և ՚ի կայն , և ո՛չ եգիտ միոյ դահեկանի էշ · և կրկին ՚ի շուկայն՝ ետես մեծ ձմերուկ մ ասէ հիացմամբ, զի՞նչ է այս ։ Եւ իմա վաճառականքն թէ յիմար է նա . և ա թէ Հընդի իշոյ ձու է, և Հանէ Հնդացի մեծագոյն ։ Եւ նա խնդալով ետ զդահեկան էառ զնա ։ Եւ պնդեցին զնա՝ թէ պատր տար զձուս որ չբեկի՝ և էշն ելեալ փախ Եւ առեալ զձմերուկն սկսաւ գնալ առ զառ ՚ի վայր ճանապարհ . և ոտն նորա զ թակղեցաւ՝ և զերծաւ ՚ի նմանէ ձմերուկն գլեալ գնաց ՚ի մէջ թաւ անտառին, և ն պաստակ մի վազեաց ՚ի յանտառէն՝ և սկս փախչել ։ Իսկ նա կարծեաց թէ բեկաւ ձու և էշն ելեալ փախչէր, և ՚ի Հետ մտեալ ձա նէր նապաստակին, ա՛յ էշ Հնդացի՝ վա՛յ ին Ցուցանէ առակս՝ թէ այսպէս յիմարե թագաւորք և քահանայք և ժողովուրդ թափեցաք ամենեքեան ՚ի խելաց և ՚ի մ և զհետ մտաք զսուտ և խաբող կենաց խարհիս այսորիկ, որ նման Հողմոյ փախչ մէնջ, և նման երազոց պակասէ, և ջան ըմբռնել զհեշտութիւն և զմեղս աշխարհ և գարշելի սիրով և ցանկութեամբ միա րիմք ՚ի նոսա, և լինիմք ողորմելիք Հոգւո մարմնով ։	UN homme insensé et stupide avait un écu; il le prit et s'en alla à la ville pour acheter un Ane. Il parcourut toute la ville et tout le mar- ché, sans trouver un Ane pour un écu; il revint au marché, et il y vit une grosse pastèque. Il s'écria tout étonné: Qu'est-ce que c'est que ça? Les marchands s'aperçurent qu'il était insensé, ils lui dirent: C'est l'œuf d'un Ane de l'Inde; il en sortira un Ane indien très-grand. Tout joyeux il leur donna son écu et prit la pastèque. Ceux- ci l'attachèrent et lui dirent: Prends garde de ne pas casser cet œuf, parce que si l'Ane en sortait il s'enfuirait. Il emporta la pastèque et s'en alla par un chemin en pente; son pied glissa, la pastèque alors lui échappa et alla en roulant jus- que dans le plus épais du bois; un lièvre qui cou- rait dans ce bois, se mit à s'enfuir. Il crut que l'œuf s'était cassé, que l'Ane en était sorti et s'en- fuyait; il courut après le Lièvre qu'il appelait: Malheur à moi ; ô Ane de l'Inde, ne te sauve pas. Kouri, kouri, lui criait-il, aies pitié de moi, re viens vers ton maître. Cette fable montre que les rois, les pontifes et les peuples sont insensés et que nous sommes tous dépourvus de raison et d'esprit, en nous attachant à la vie trompeuse et mensongère de ce monde, qui est semblable à un vent violent qui s'éloigne de nous, qui ressemble à un songe qui disparaît. Nous nous efforçons de saisir la dou ceur et les péchés de ce monde, nous nous atta chons à eux par une passion et un amour détes tables. Notre corps et notre ame sont bien dignes de pitié.	EAP180-1-2-229_046L.jpg EAP180-1-2-229_047L.jpg	EAP180-1-2-229_046R.jpg EAP180-1-2-229_047R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_046L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_046R.jpg
42	XLII	ԹԱԳԱՒՈՐ ԱՂՔԱՏԱՑԵԱԼ	LE ROI DEVENU PAUVRE	Թագաւոր մի եՀաս ՚ի վերջին աղքատո թիւն, և յոլով ժամանակս ծառայե խնկօք և ճրագօք զկուռս Հօր իւրոյ, և աղ չէր զնա՝ զի փարթամասցի . իսկ նա և՛ս ք զևս աղքատանայր ։ Եւ նա բարկացեալ յա ւուր միում՝ եՀար ուռամբ զգլուխ կռոցն, գլուխն, և բազում՝ գանձս Հեղաւ գլխոյ կռոցն՝ զոր Հայրն նորա անդ պահեալ Ցուցանէ առակս յայտնապէս, թէ որք ծառայես զմարմինդ քո Հեշտութեամբ և ղօք, դու ևս քան զևս աղքատանաս Հոգւո և ողորմելի լինիս . ապա թէ տանջես զմա մինդ քո և չարչարես, և սպանցես ամենա բարեգործութեամբ. ապա կարես փարթամ նալ դու Հոգւովդ առաքինութեամբք ։	Un Roi tomba dans la dernière misère, et pen dant long-temps il honora l'idole de son père, en lui offrant de l'encens et des cierges. Il le priait de l'enrichir, mais lui devenait de plus en plus pauvre ; enfin un jour il se mit en colère et frappa avec un marteau la tête de son idole. La tête de l'idole se fendit, et il en sortit beaucoup de trésors que son père y avait déposé. Cette fable fait voir clairement que si vous ren dez votre corps esclave de la mollesse et du pé ché, vous serez de plus en plus pauvre d'esprit, et vous deviendrez misérable; mais si vous affligez votre corps, si vous le tourmentez et le tuez par une grande quantité de bonnes actions, vous pourrez vous enrichir en vertus spirituelles.	EAP180-1-2-229_047L.jpg EAP180-1-2-229_048L.jpg	EAP180-1-2-229_047R.jpg EAP180-1-2-229_048R.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_047L.jpg	https://storage.googleapis.com/grabar-page-images/curio/EAP180-1-2-229_047R.jpg
